Street_Name,Total_Crashes,Fatal_Crashes,Serious_Injuries,Dominant_Jurisdiction,Mixed_Jurisdiction,SPDLIMIT,LANES
COUNTRY HAVEN DR,1,0,0,City of Memphis,False,30.0,2
HADDINGTON DR,1,0,0,City of Memphis,False,35.0,2
CHUCK AVE,1,0,0,City of Memphis,False,30.0,2
RIDGEWAY ST,1,0,0,City of Memphis,False,30.0,2
ALLENBROOKE CV,1,0,0,City of Memphis,False,25.0,2
GABAY ST,1,0,0,City of Memphis,False,30.0,2
LAPALOMA ST,1,0,0,City of Memphis,False,30.0,2
GREENWOOD ST,1,0,0,City of Memphis,False,30.0,2
W MALLORY AVE,1,0,0,City of Memphis,False,40.0,3
CRESTHAVEN RD,1,0,0,City of Memphis,False,30.0,2
ISLAND DR,1,0,0,City of Memphis,False,30.0,2
W DISON AVE,1,0,0,City of Memphis,False,30.0,2
STRATFORD RD,1,0,0,City of Memphis,False,40.0,4
ISHERWOOD RD,1,0,1,City of Memphis,False,30.0,2
S LEXINGTON CIR,1,0,0,City of Memphis,False,30.0,2
CHANCERY ST,1,0,0,City of Memphis,False,30.0,2
VIVIA AVE,1,0,0,City of Memphis,False,30.0,2
COMPRESS DR,1,0,1,City of Memphis,False,30.0,2
ARBORWOOD DR,1,0,0,City of Memphis,False,30.0,2
HOMEWOOD DR,1,0,1,City of Memphis,False,30.0,2
BONNIE LN,1,0,1,City of Memphis,False,35.0,2
GLORY CIR,1,0,0,City of Memphis,False,30.0,2
BARTLETT RD,1,0,0,City of Memphis,False,40.0,2
SUNSET ST,1,0,0,City of Memphis,False,30.0,2
GOLDBRIER LN,1,0,0,City of Memphis,False,30.0,2
LONGACRE AVE,1,0,0,City of Memphis,False,30.0,2
TWELFTH RD,1,0,0,City of Memphis,False,30.0,2
DAWN DR,1,0,0,City of Memphis,False,30.0,2
MIMOSA AVE,1,0,1,City of Memphis,False,30.0,2
40 S TO 240 E,1,0,0,Interstate ramp,False,45.0,1
RALEIGH SPRINGS MALL DR,1,0,1,City of Memphis,False,15.0,2
SUNNYSIDE ST,1,0,0,City of Memphis,False,30.0,2
HILLVIEW AVE,1,0,0,City of Memphis,False,30.0,2
LANDIS ST,1,0,0,City of Memphis,False,30.0,2
VILLA DR,1,0,0,City of Memphis,False,30.0,2
ORIOLE ST,1,0,0,City of Memphis,False,30.0,2
