MstrRecNbrTxt,CollisionDate,CollisionDteTime,YearNmb,Month,DayOfWeek,Hour,Latitude,Longitude,InjuryClass,PersonType,NonMotoristLocation,RelationToJunction,LightCondition,MannerOfCollision,FirstHarmfulEvent,VictimsInCrash,InMemphis,Jurisdiction,StateRoute_NAME,StateRoute_F_System,StateRoute_SPDLIMIT,StateRoute_LANES,StateRoute_ALTNAME_1,StateRoute_Council_District,DistToStateRoute_m,Jurisdiction_prev
301074437,2026-04-09,2026-04-09 20:00:00,2026,4,Thursday,20,35.21758,-89.994064,Possible Injury,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,Intersection-Related,Dawn,Angle,Other,1,True,City of Memphis,,,,,,,2677.898008714464,City of Memphis
301072757,2026-03-31,2026-03-31 19:54:00,2026,3,Tuesday,19,35.099113,-89.8451,Fatal,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,AccelDecelLane,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,False,Suburban-Shelby,,,,,,,,Suburban-Shelby
301071051,2026-03-21,2026-03-21 21:20:00,2026,3,Saturday,21,35.064884,-89.93243,Fatal,Pedestrian,Intersection-Unknown,Intersection,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,TDOT,NEW GETWELL RD,Principal Arterial,40.0,2.0,176,3.0,0.3183575723150796,TDOT
301074447,2026-04-09,2026-04-09 19:18:00,2026,4,Thursday,19,35.221107,-89.97553,Suspected Minor Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,AccelDecelLane,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,City of Memphis,,,,,,,3833.442738510042,City of Memphis
301071977,2026-03-26,2026-03-26 21:05:00,2026,3,Thursday,21,35.07205,-89.93236,Suspected Serious Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,AccelDecelLane,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,City of Memphis,,,,,,,38.20977952350216,City of Memphis
301076761,2026-04-22,2026-04-22 13:07:00,2026,4,Wednesday,13,35.00787,-90.046455,No Injury,Pedestrian,Not Intersection-Adjacent to Roadway,SharedUsePathOrTrail,Daylight,Not Collision with Motor Vehicle in Transport,Other,2,True,City of Memphis,,,,,,,1445.1893112438613,City of Memphis
301075347,2026-04-14,2026-04-14 20:20:00,2026,4,Tuesday,20,35.20799,-89.91052,Suspected Serious Injury,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,Through Roadway,Dark-Unknown Lighting,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,City of Memphis,,,,,,,179.23657467205248,City of Memphis
301028565,2025-07-15,2025-07-15 20:00:00,2025,7,Tuesday,20,35.101875,-89.859383,Fatal,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Dusk,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,TDOT,POPLAR AVE,Principal Arterial,40.0,7.0,57,2.0,4.48287276584801,TDOT
301069679,2026-03-10,2026-03-10 12:20:00,2026,3,Tuesday,12,35.035515,-90.02516,Suspected Minor Injury,Pedestrian,Intersection-In Crosswalk,Intersection,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,TDOT,ELVIS PRESLEY BLVD,Principal Arterial,40.0,5.0,3,6.0,0.3167575447708924,TDOT
301073009,2026-04-01,2026-04-01 08:53:00,2026,4,Wednesday,8,35.148502,-89.92846,Possible Injury,Pedestrian,Intersection-On Roadway Crosswalk Not Available,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,City of Memphis,,,,,,,73.70705205667211,City of Memphis
301069106,2026-03-10,2026-03-10 05:00:00,2026,3,Tuesday,5,35.175415,-89.97533,Fatal,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,City of Memphis,,,,,,,1932.251998966644,City of Memphis
301073690,2026-04-04,2026-04-04 13:00:00,2026,4,Saturday,13,35.142082,-90.03187,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Intersection-Related,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,City of Memphis,,,,,,,403.4662993468131,City of Memphis
301073359,2026-04-04,2026-04-04 04:13:00,2026,4,Saturday,4,35.105015,-90.02044,Possible Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,Intersection,Dark-Unknown Lighting,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,TDOT,ELVIS PRESLEY BLVD,Minor Arterial,40.0,4.0,3,4.0,25.160586964621057,TDOT
301072003,2026-03-26,2026-03-26 18:23:00,2026,3,Thursday,18,35.148026,-90.05299,Possible Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,Intersection,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,City of Memphis,,,,,,,232.67029274890896,City of Memphis
301073707,2026-04-03,2026-04-03 07:20:00,2026,4,Friday,7,35.31694,-89.90166,No Injury,Pedestrian,Unknown,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Other,1,False,Suburban-Shelby,,,,,,,,Suburban-Shelby
301021460,2025-05-31,2025-05-31 23:45:00,2025,5,Saturday,23,35.0613,-90.05918,Fatal,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,TDOT,S THIRD ST,Principal Arterial,45.0,7.0,14,6.0,19.467945836341293,TDOT
301073827,2026-04-06,2026-04-06 23:34:00,2026,4,Monday,23,35.215113,-90.003464,Fatal,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,Intersection,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,City of Memphis,,,,,,,2132.310257983976,City of Memphis
